Domains,Sequence Number Diff
log.outbrainimg.com,37946
bbc.gscontxt.net,4329
nyidt.adsafeprotected.com,15450
collector.effectivemeasure.net,5686
widgets.outbrain.com,7968
a.teads.tv,10392
e9957.b.akamaiedge.net,10392
vapixel.adsafeprotected.com,34705
idcta.api.bbc.co.uk,5374
e3891.dscf.akamaiedge.net,5374
static.bbc.co.uk,5374
polling.bbc.co.uk,5374
emp.bbci.co.uk,5374
mybbc-analytics.files.bbci.co.uk,5374
cdn.teads.tv,17217
e9957.e4.akamaiedge.net,17217
sync.teads.tv,17217
images.outbrainimg.com,542840
e15144.d.akamaiedge.net,542840
ad.crwdcntrl.net,6151
census.us-east-1.nielsencollections.com,4689
privacy.crwdcntrl.net,6458
privacy.crwdcntrl.net,6396
bcp.crwdcntrl.net,6396
