Domain,Num IPs,IPs
PDOM05.pu.win.princeton.edu,1,['10.6.48.144']
alumni.Princeton.EDU,1,['34.228.150.183']
MNZ-efz.ms-acdc.office.com,36,"['52.96.35.2', '40.97.188.242', '52.96.87.194', '52.96.40.242', '52.96.33.82', '52.96.9.178', '40.97.188.2', '52.96.88.18', '52.96.69.2', '52.96.9.2', '52.96.88.2', '52.96.15.178', '40.97.190.18', '52.96.88.98', '52.96.62.226', '52.96.32.178', '52.96.88.34', '52.96.64.130', '52.96.87.210', '52.96.88.50', '52.96.58.98', '52.96.32.2', '52.96.88.66', '52.96.88.82', '52.96.87.226', '52.96.38.82', '52.96.35.178', '40.97.190.2', '52.96.70.242', '52.96.15.2', '52.96.19.82', '52.96.87.242', '52.96.44.162', '52.96.69.50', '40.97.188.226', '52.96.88.114']"
gen-zabbix.Princeton.EDU,1,['128.112.117.190']
PDOM08.pu.win.princeton.edu,1,['10.6.48.145']
Princeton.EDU,1,['140.180.223.22']
PDOM07.pu.win.princeton.edu,1,['10.6.48.30']
PRINCETON.EDU,1,['140.180.223.22']
feynman.Princeton.EDU,1,['128.112.100.5']
eissql101w-netmgt.Princeton.EDU,1,['172.19.0.90']
mccdigrec207w.Princeton.EDU,1,['140.180.220.12']
cy24-2049.Princeton.EDU,1,['172.18.194.101']
ims317.Princeton.EDU,1,['128.112.134.66']
isserv215.Princeton.EDU,1,['10.6.48.114']
aishmsres201w.Princeton.EDU,1,['140.180.220.183']
aqua.Princeton.EDU,1,['128.112.36.41']
seungworkstation09.Princeton.EDU,1,['128.112.220.90']
spcvmsts214w.Princeton.EDU,1,['140.180.221.110']
ais223l.Princeton.EDU,1,['10.6.47.15']
aisgold7202w.Princeton.EDU,1,['140.180.221.56']
cdh-db.Princeton.EDU,1,['172.19.70.36']
idpqa.Princeton.EDU,2,"['18.215.32.83', '100.24.220.125']"
aisfrevvo300w.Princeton.EDU,1,['140.180.220.65']
aishmsres110w.Princeton.EDU,1,['140.180.221.41']
XpressReg.Net,1,['66.203.65.115']
netvirtu02.Princeton.EDU,1,['140.180.225.85']
iammimweb101w.Princeton.EDU,1,['10.6.57.46']
nisslave-dev.Princeton.EDU,1,['128.112.128.15']
aruba-cppm-05.Princeton.EDU,1,['128.112.128.28']
tools.Princeton.EDU,1,['140.180.222.56']
ALUMNI.PRINCETON.EDU,1,['34.228.150.183']
cisdrroxen200l.Princeton.EDU,1,['140.180.220.179']
fac112w.Princeton.EDU,1,['140.180.220.63']
dps203w.Princeton.EDU,1,['140.180.220.38']
eiscpan100l.Princeton.EDU,1,['140.180.221.46']
e315-printer.Princeton.EDU,1,['10.254.4.188']
oaamx202l.Princeton.EDU,1,['140.180.220.103']
OCP-713DQD2.princeton.edu,1,['128.112.29.13']
mta-XXX0.cluster2.blackbaud.net,1,['216.235.195.73']
AISHMSRES202W.PRINCETON.EDU,1,['10.6.49.253']
HCAhealthcare.com,1,['165.214.41.39']
HKG-efz.ms-acdc.office.com,1,['52.98.85.194']
cy48-0597.Princeton.EDU,1,['172.18.32.75']
EISSQL209W.PRINCETON.EDU,1,['10.6.49.120']
eyeinthesky.Princeton.EDU,1,['128.112.133.130']
LISTS.PRINCETON.EDU,1,['128.112.131.33']
PALMS.EE.PRINCETON.EDU,1,['128.112.48.247']
seungworkstation23.Princeton.Edu,1,['128.112.218.16']
Bertuccis.fbmta.com,1,['20.185.214.2']
eis222l.Princeton.EDU,1,['128.112.129.171']
eisssrs201w.Princeton.EDU,1,['10.6.51.0']
essesx202v-netmgt.Princeton.EDU,1,['172.19.0.32']
asetc206l.Princeton.EDU,1,['140.180.221.15']
eis308l.Princeton.EDU,1,['128.112.134.126']
cch200w.Princeton.EDU,1,['140.180.221.100']
asrv201w.Princeton.EDU,1,['140.180.220.96']
ele304l.Princeton.EDU,1,['140.180.220.98']
epm201l.Princeton.EDU,1,['10.6.47.20']
puqa06.zeta.adtest.Princeton.EDU,1,['10.21.1.14']
Smbserve.princeton.edu,2,"['172.19.70.81', '172.19.70.84']"
eyeinthesky-infranet1.Princeton.EDU,1,['172.18.0.10']
Princeton.edu,1,['140.180.223.22']
dev-webprod-ogv.Princeton.EDU,1,['140.180.220.124']
aisgold7301w.Princeton.EDU,1,['140.180.221.49']
andvlab200l.Princeton.EDU,1,['140.180.221.24']
aisgold6web100w.Princeton.EDU,1,['140.180.220.147']
cisdr202l.Princeton.EDU,1,['140.180.220.105']
eissql203w-netmgt.Princeton.EDU,1,['172.19.0.120']
fac-geoprod.Princeton.EDU,1,['140.180.221.124']
prz205w.Princeton.EDU,1,['140.180.221.71']
essesx215v-netmgt.Princeton.EDU,1,['172.19.0.210']
csgsawmill200l.Princeton.EDU,1,['128.112.131.71']
roxdb01qa-netmgt.Princeton.EDU,1,['172.19.0.155']
vpft101w.Princeton.EDU,1,['140.180.220.50']
TSTLDAP.princeton.edu,1,['128.112.222.29']
IBLSERVER.princeton.edu,2,"['128.112.219.86', '172.29.0.11']"
fedqa.Princeton.EDU,2,"['3.220.168.44', '3.220.168.135']"
psiturk-lositsk.Princeton.EDU,1,['128.112.102.65']
MAE-SERVER.princeton.edu,1,['128.112.38.75']
iCloud.com,1,['17.253.144.10']
eissql2b.Princeton.EDU,1,['10.6.50.178']
arc-hestia.Princeton.EDU,1,['140.180.220.34']
ap-0127-0052.Princeton.EDU,1,['10.252.81.73']
LISTSERV.SYR.EDU,1,['128.230.171.72']
LALAWLIBRARY.ORG,1,['50.87.238.35']
cy48-0598.Princeton.EDU,1,['172.18.32.60']
mta-ROOF.cluster2.blackbaud.net,1,['216.235.195.34']
puppet.pni.Princeton.EDU,1,['128.112.217.78']
DuckDNSAppELB-570522007.us-west-2.elb.amazonaws.com,2,"['54.148.29.226', '34.208.211.37']"
smtp.Princeton.EDU,1,['140.180.222.58']
cy48-1705.Princeton.EDU,1,['172.18.3.211']
220-133-97-20.HINET-IP.hinet.net,1,['220.133.97.20']
sis223l.Princeton.EDU,1,['10.6.52.184']
TSM8.PRINCETON.EDU,1,['128.112.128.113']
LIB-STAFFMUS003.princeton.edu,1,['128.112.140.25']
WESTOFF.princeton.edu,1,['128.112.150.208']
csgsmtp100l.Princeton.EDU,1,['140.180.223.157']
lists.Princeton.EDU,1,['128.112.131.33']
WIN04.win.princeton.edu,1,['10.6.48.10']
aisob101w.Princeton.EDU,1,['10.6.49.143']
asoar201l.Princeton.EDU,1,['140.180.220.69']
dev-webqa-ogv.Princeton.EDU,1,['140.180.220.126']
eissql3a.Princeton.EDU,1,['10.6.50.23']
eistsm210l-netmgt.Princeton.EDU,1,['172.19.0.88']
aissimfony7202w.Princeton.EDU,1,['140.180.220.240']
as202l.Princeton.EDU,1,['140.180.220.190']
ath202w.Princeton.EDU,1,['140.180.220.55']
cla200l.Princeton.EDU,1,['140.180.221.42']
csla100w.Princeton.EDU,1,['140.180.220.111']
ldap06.Princeton.edu,1,['10.6.63.113']
nismaster4-dev.Princeton.EDU,1,['128.112.129.188']
aisgold6web200w.Princeton.EDU,1,['140.180.221.40']
heymon-infranet1.Princeton.EDU,1,['172.18.0.152']
aisfsa201w.Princeton.EDU,1,['140.180.221.91']
aruba-cppm-01.Princeton.EDU,1,['128.112.128.11']
Lockhart.princeton.edu,1,['172.19.70.62']
eis-fwmgr.Princeton.EDU,1,['128.112.130.95']
math.Princeton.EDU,1,['128.112.18.16']
iammimweb300w.Princeton.EDU,1,['10.6.57.21']
ais210l.Princeton.EDU,1,['128.112.130.115']
netvclock200l.Princeton.EDU,1,['140.180.220.26']
pdom06-netmgt.Princeton.EDU,1,['172.19.0.110']
fac114w.Princeton.EDU,1,['140.180.221.73']
sdp101w.Princeton.EDU,1,['10.6.61.12']
sdpprox301l.Princeton.EDU,1,['10.6.57.22']
phtess1.astro.Princeton.EDU,1,['128.112.26.63']
ss225w.Princeton.EDU,1,['140.180.220.159']
mail.YANDEX.ru,1,['77.88.21.37']
mta-ZXXX.cluster3.blackbaud.net,1,['216.235.195.196']
Delta-ELB-1549258696.us-east-1.elb.amazonaws.com,1,['3.90.195.49']
cy48-1296.Princeton.EDU,1,['172.18.4.153']
