IP Address,Num Domains,Domains
10.6.48.144,2,"['PDOM05.pu.win.princeton.edu', 'pdom05.pu.win.Princeton.EDU']"
34.228.150.183,4,"['alumni.Princeton.EDU', 'ALUMNI.PRINCETON.EDU', 'alumni.Princeton.edu', 'Alumni.Princeton.Edu']"
52.96.35.2,1,['MNZ-efz.ms-acdc.office.com']
40.97.188.242,1,['MNZ-efz.ms-acdc.office.com']
128.112.117.190,1,['gen-zabbix.Princeton.EDU']
10.6.48.145,2,"['PDOM08.pu.win.princeton.edu', 'PU.WIN.PRINCETON.EDU']"
140.180.223.22,5,"['Princeton.EDU', 'PRINCETON.EDU', 'Princeton.edu', 'princeton.Edu', 'Princeton.Edu']"
10.6.48.30,3,"['PDOM07.pu.win.princeton.edu', 'PU.WIN.PRINCETON.EDU', 'pdom07.pu.win.Princeton.EDU']"
128.112.100.5,1,['feynman.Princeton.EDU']
52.96.87.194,1,['MNZ-efz.ms-acdc.office.com']
172.19.0.90,1,['eissql101w-netmgt.Princeton.EDU']
140.180.220.12,1,['mccdigrec207w.Princeton.EDU']
52.96.40.242,1,['MNZ-efz.ms-acdc.office.com']
172.18.194.101,1,['cy24-2049.Princeton.EDU']
128.112.134.66,1,['ims317.Princeton.EDU']
10.6.48.114,1,['isserv215.Princeton.EDU']
140.180.220.183,1,['aishmsres201w.Princeton.EDU']
128.112.36.41,1,['aqua.Princeton.EDU']
128.112.220.90,1,['seungworkstation09.Princeton.EDU']
140.180.221.110,1,['spcvmsts214w.Princeton.EDU']
10.6.47.15,1,['ais223l.Princeton.EDU']
140.180.221.56,1,['aisgold7202w.Princeton.EDU']
172.19.70.36,1,['cdh-db.Princeton.EDU']
18.215.32.83,1,['idpqa.Princeton.EDU']
140.180.220.65,1,['aisfrevvo300w.Princeton.EDU']
140.180.221.41,1,['aishmsres110w.Princeton.EDU']
66.203.65.115,1,['XpressReg.Net']
140.180.225.85,1,['netvirtu02.Princeton.EDU']
10.6.57.46,1,['iammimweb101w.Princeton.EDU']
128.112.128.15,1,['nisslave-dev.Princeton.EDU']
128.112.128.28,1,['aruba-cppm-05.Princeton.EDU']
140.180.222.56,1,['tools.Princeton.EDU']
140.180.220.179,1,['cisdrroxen200l.Princeton.EDU']
140.180.220.63,1,['fac112w.Princeton.EDU']
140.180.220.38,1,['dps203w.Princeton.EDU']
140.180.221.46,1,['eiscpan100l.Princeton.EDU']
52.96.33.82,1,['MNZ-efz.ms-acdc.office.com']
10.254.4.188,1,['e315-printer.Princeton.EDU']
140.180.220.103,1,['oaamx202l.Princeton.EDU']
128.112.29.13,1,['OCP-713DQD2.princeton.edu']
216.235.195.73,1,['mta-XXX0.cluster2.blackbaud.net']
10.6.49.253,1,['AISHMSRES202W.PRINCETON.EDU']
165.214.41.39,1,['HCAhealthcare.com']
52.98.85.194,1,['HKG-efz.ms-acdc.office.com']
172.18.32.75,1,['cy48-0597.Princeton.EDU']
52.96.9.178,1,['MNZ-efz.ms-acdc.office.com']
10.6.49.120,1,['EISSQL209W.PRINCETON.EDU']
128.112.133.130,1,['eyeinthesky.Princeton.EDU']
128.112.131.33,2,"['LISTS.PRINCETON.EDU', 'lists.Princeton.EDU']"
128.112.48.247,1,['PALMS.EE.PRINCETON.EDU']
40.97.188.2,1,['MNZ-efz.ms-acdc.office.com']
128.112.218.16,1,['seungworkstation23.Princeton.Edu']
20.185.214.2,1,['Bertuccis.fbmta.com']
128.112.129.171,2,"['eis222l.Princeton.EDU', 'loghost.Princeton.EDU']"
10.6.51.0,1,['eisssrs201w.Princeton.EDU']
172.19.0.32,1,['essesx202v-netmgt.Princeton.EDU']
140.180.221.15,1,['asetc206l.Princeton.EDU']
128.112.134.126,1,['eis308l.Princeton.EDU']
140.180.221.100,1,['cch200w.Princeton.EDU']
140.180.220.96,1,['asrv201w.Princeton.EDU']
140.180.220.98,1,['ele304l.Princeton.EDU']
10.6.47.20,1,['epm201l.Princeton.EDU']
52.96.88.18,1,['MNZ-efz.ms-acdc.office.com']
10.21.1.14,2,"['puqa06.zeta.adtest.Princeton.EDU', 'puqa06.aws.Princeton.EDU']"
172.19.70.81,3,"['Smbserve.princeton.edu', 'Files.princeton.edu', 'homeserver2.Princeton.EDU']"
52.96.69.2,1,['MNZ-efz.ms-acdc.office.com']
172.18.0.10,1,['eyeinthesky-infranet1.Princeton.EDU']
140.180.220.124,1,['dev-webprod-ogv.Princeton.EDU']
52.96.9.2,1,['MNZ-efz.ms-acdc.office.com']
52.96.88.2,1,['MNZ-efz.ms-acdc.office.com']
