Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
*,493671,0,32646724,3009061775,32646724.0,3009061775.0
eis202lb-router-fw.princeton.edu,27845,0,0,0,0.0,0.0
mta.medicalert-email.org,9,0,0,0,0.0,0.0
28.168.68.117.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,2338,0,0,0,0.0,0.0
55.24.127.185.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,8,0,0,0,0.0,0.0
3.222.175.60.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,1897,0,0,0,0.0,0.0
229.56.99.182.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,785,0,0,0,0.0,0.0
100.204.169.60.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,1041,0,0,0,0.0,0.0
5.42.212.58.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,3041,0,0,0,0.0,0.0
118.204.169.60.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,3472,0,0,0,0.0,0.0
lesbelleslettres.com,18,0,0,0,0.0,0.0
123.204.169.60.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,2614,0,0,0,0.0,0.0
10.222.175.60.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,2409,0,0,0,0.0,0.0
lh3.googleusercontent.com,77,0,77269,7083252,77269.0,7083252.0
64.247.111.182.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,2462,0,0,0,0.0,0.0
connectivitycheck.gstatic.com,2564,0,645611,50204993,645611.0,50204993.0
222.246.111.182.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,790,0,0,0,0.0,0.0
165.132.189.27.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,1606,0,0,0,0.0,0.0
223.244.111.182.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,1824,0,0,0,0.0,0.0
PDOM08.pu.win.princeton.edu,1480,0,0,0,0.0,0.0
p67-keyvalueservice.icloud.com.cn,14,0,1100,92416,1100.0,92416.0
139.208.180.123.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,543,0,0,0,0.0,0.0
mail01.link.pentonfinancialservices.com,7,0,0,0,0.0,0.0
83.152.225.111.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,2626,0,0,0,0.0,0.0
232.117.196.5.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,1611,0,0,0,0.0,0.0
140.204.169.60.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,1694,0,0,0,0.0,0.0
