Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
alumni.Princeton.EDU,565,0,0,0,0.0,0.0
MNZ-efz.ms-acdc.office.com,1243,0,9670,534756,9670.0,534756.0
gen-zabbix.Princeton.EDU,4919,0,0,0,0.0,0.0
Princeton.EDU,1681,0,0,0,0.0,0.0
PRINCETON.EDU,377,0,0,0,0.0,0.0
feynman.Princeton.EDU,1161,0,0,0,0.0,0.0
mccdigrec207w.Princeton.EDU,8,0,0,0,0.0,0.0
cy24-2049.Princeton.EDU,1,0,0,0,0.0,0.0
ims317.Princeton.EDU,4,0,0,0,0.0,0.0
isserv215.Princeton.EDU,4,0,0,0,0.0,0.0
aishmsres201w.Princeton.EDU,14,0,0,0,0.0,0.0
aqua.Princeton.EDU,1235,0,0,0,0.0,0.0
spcvmsts214w.Princeton.EDU,8,0,0,0,0.0,0.0
ais223l.Princeton.EDU,4,0,0,0,0.0,0.0
aisgold7202w.Princeton.EDU,8,0,0,0,0.0,0.0
cdh-db.Princeton.EDU,82,0,0,0,0.0,0.0
idpqa.Princeton.EDU,15,0,0,0,0.0,0.0
aisfrevvo300w.Princeton.EDU,15,0,0,0,0.0,0.0
aishmsres110w.Princeton.EDU,14,0,0,0,0.0,0.0
XpressReg.Net,20,0,0,0,0.0,0.0
netvirtu02.Princeton.EDU,3,0,0,0,0.0,0.0
iammimweb101w.Princeton.EDU,4,0,0,0,0.0,0.0
nisslave-dev.Princeton.EDU,4,0,0,0,0.0,0.0
aruba-cppm-05.Princeton.EDU,4,0,0,0,0.0,0.0
tools.Princeton.EDU,4,0,0,0,0.0,0.0
ALUMNI.PRINCETON.EDU,108,0,0,0,0.0,0.0
cisdrroxen200l.Princeton.EDU,8,0,0,0,0.0,0.0
fac112w.Princeton.EDU,12,0,0,0,0.0,0.0
dps203w.Princeton.EDU,14,0,0,0,0.0,0.0
eiscpan100l.Princeton.EDU,14,0,0,0,0.0,0.0
