Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
PRINCETON.EDU,4802,0,0,0,0.0,0.0
Princeton.EDU,18694,0,0,0,0.0,0.0
VENUS.CAPTUREPOINT.COM,339,0,19,1556,19.0,1556.0
alumni.Princeton.EDU,300,0,0,0,0.0,0.0
csglists200l.Princeton.EDU,200,0,0,0,0.0,0.0
MATH.PRINCETON.EDU,34,0,0,0,0.0,0.0
WGPON-36232-238.wateen.net,2,0,0,0,0.0,0.0
mta-ZXXZ.cluster3.blackbaud.net,9,0,69,5922,69.0,5922.0
Emailus.thewhitecompany.com,4,0,0,0,0.0,0.0
tsm7.Princeton.EDU,17,0,0,0,0.0,0.0
lists.Princeton.EDU,551,0,0,0,0.0,0.0
L103.asuswebstorage.com,2,0,0,0,0.0,0.0
bunk.Princeton.EDU,5,0,0,0,0.0,0.0
ALUMNI.PRINCETON.EDU,1035,0,0,0,0.0,0.0
Princeton.edu,717,0,0,0,0.0,0.0
OAC-4CFXVF2.princeton.edu,1,0,0,0,0.0,0.0
DEV-390R90VCYL3.princeton.edu,1,0,0,0,0.0,0.0
mta-XXZ0.cluster3.blackbaud.net,3,0,236,20799,236.0,20799.0
smtp.Princeton.EDU,997,0,0,0,0.0,0.0
mta-X0Y0.cluster3.blackbaud.net,4,0,114,10037,114.0,10037.0
LISTS.PRINCETON.EDU,866,0,0,0,0.0,0.0
iCloud.com,29,0,0,0,0.0,0.0
LISTSERV.LOC.GOV,21,0,0,0,0.0,0.0
TSM11.PRINCETON.EDU,1,0,0,0,0.0,0.0
mta-LVXU.cluster2.blackbaud.net,4,0,186,16278,186.0,16278.0
mta-QSXE.cluster3.blackbaud.net,5,0,114,9995,114.0,9995.0
DecisionViz.com,2,0,0,0,0.0,0.0
TEL-HPWV0N2.princeton.edu,1,0,0,0,0.0,0.0
mta-LMUM.cluster2.blackbaud.net,3,0,100,8620,100.0,8620.0
statseeker.Princeton.EDU,477,0,0,0,0.0,0.0
Ambilt.com,68,0,0,0,0.0,0.0
EE.PRINCETON.EDU,6,0,0,0,0.0,0.0
www.Princeton.EDU,27,0,229,35277,229.0,35277.0
STATSEEKER.PRINCETON.EDU,59,0,0,0,0.0,0.0
mta-RRRY.cluster2.blackbaud.net,9,0,34,2922,34.0,2922.0
LISTSERV.JMU.EDU,30,0,0,0,0.0,0.0
NVCC.EDU,6,0,0,0,0.0,0.0
mta-QEXS.cluster2.blackbaud.net,12,0,0,0,0.0,0.0
heymon.Princeton.EDU,161,0,0,0,0.0,0.0
Comcast.net,33,0,0,0,0.0,0.0
mta-QEXN.cluster3.blackbaud.net,4,0,54,4579,54.0,4579.0
mta-RYTY.cluster2.blackbaud.net,3,0,36,3054,36.0,3054.0
mta-XXXY.cluster2.blackbaud.net,8,0,149,12956,149.0,12956.0
PALMS.EE.PRINCETON.EDU,65,0,0,0,0.0,0.0
EISSQL209W.PRINCETON.EDU,49,0,0,0,0.0,0.0
MacaroniGrill.fbmta.com,9,0,0,0,0.0,0.0
OurTime.com,3,0,0,0,0.0,0.0
EVMS.edu,2,0,0,0,0.0,0.0
mta-UMXM.cluster3.blackbaud.net,3,0,162,14234,162.0,14234.0
LISTSERV.EDUCAUSE.EDU,129,0,0,0,0.0,0.0
UALR.EDU,6,0,0,0,0.0,0.0
BusinessTrack.com,4,0,0,0,0.0,0.0
OPR.PRINCETON.EDU,62,0,0,0,0.0,0.0
WWS-PF0TXS3M.princeton.edu,1,0,0,0,0.0,0.0
esspup201l.Princeton.EDU,18,0,0,0,0.0,0.0
SanofiUSConnect.com,2,0,0,0,0.0,0.0
pni.Princeton.EDU,9,0,0,0,0.0,0.0
Schwab.com,44,0,0,0,0.0,0.0
TSM10.PRINCETON.EDU,20,0,0,0,0.0,0.0
LISTS.SIERRACLUB.ORG,2,0,0,0,0.0,0.0
pRINCETON.EDU,2,0,0,0,0.0,0.0
Fidelity.com,15,0,0,0,0.0,0.0
BerlinScholars.groups.io,15,0,0,0,0.0,0.0
STERICYCLE.com,2,0,0,0,0.0,0.0
MNZ-efz.ms-acdc.office.com,147,0,214214,21515968,214214.0,21515968.0
mta-QWNW.cluster2.blackbaud.net,4,0,39,3333,39.0,3333.0
math.Princeton.EDU,51,0,0,0,0.0,0.0
mta-HHHK.cluster2.blackbaud.net,5,0,41,3546,41.0,3546.0
60-249-25-59.HINET-IP.hinet.net,2,0,0,0,0.0,0.0
Princeton.Edu,17,0,0,0,0.0,0.0
mta-NEXN.cluster3.blackbaud.net,5,0,37,3213,37.0,3213.0
TRE-J1QFTT2.princeton.edu,1,0,0,0,0.0,0.0
MAILMAN-02.ANDREW.CMU.EDU,2,0,0,0,0.0,0.0
mta-XZZ0.cluster2.blackbaud.net,4,0,39,3426,39.0,3426.0
OGC-D6TDQV2.princeton.edu,1,0,0,0,0.0,0.0
FAC-Willo3-200w.princeton.edu,2,0,0,0,0.0,0.0
MAIL.AMERICANBAR.ORG,10,0,1632,150826,1632.0,150826.0
tco.Tiffany.com,7,0,0,0,0.0,0.0
Tiffany.com,13,0,0,0,0.0,0.0
UHS-GH7MXY2.princeton.edu,1,0,0,0,0.0,0.0
ats202l.Princeton.EDU,4,0,0,0,0.0,0.0
ALUM.MIT.EDU,2,0,0,0,0.0,0.0
email.StudentMags.com,13,0,0,0,0.0,0.0
ONP-KMILLERSP4.princeton.edu,1,0,0,0,0.0,0.0
UNTHSC.EDU,2,0,0,0,0.0,0.0
EMBARQMAIL.COM,2,0,0,0,0.0,0.0
0SG.NET,2,0,0,0,0.0,0.0
KNCHS.ORG,2,0,0,0,0.0,0.0
sassunapsis101w.Princeton.EDU,2,0,0,0,0.0,0.0
JISCMAIL.AC.UK,36,0,0,0,0.0,0.0
YAHOO.DE,4,0,0,0,0.0,0.0
LISTSERV.AERA.NET,2,0,0,0,0.0,0.0
Princeton79.org,4,0,0,0,0.0,0.0
UCONN.EDU,14,0,0,0,0.0,0.0
Newser.com,2,0,0,0,0.0,0.0
LISTSERV.UAB.EDU,2,0,0,0,0.0,0.0
PRNewswire.com,4,0,0,0,0.0,0.0
CBE-GT47NV2.princeton.edu,1,0,0,0,0.0,0.0
FAP-JSCHREIB19.princeton.edu,1,0,0,0,0.0,0.0
TSM7.PRINCETON.EDU,18,0,0,0,0.0,0.0
alumni.Princeton.edu,58,0,0,0,0.0,0.0
WGPON-36237-155.wateen.net,2,0,0,0,0.0,0.0
PPPL.GOV,38,0,0,0,0.0,0.0
KWPMC.com,2,0,0,0,0.0,0.0
Vanderweil.com,19,0,0,0,0.0,0.0
LISTSERV.NEU.EDU,2,0,0,0,0.0,0.0
i59F5263C.versanet.de,2,0,0,0,0.0,0.0
TRE-GFS5JR2.princeton.edu,1,0,0,0,0.0,0.0
ZUJ.EDU.JO,23,0,0,0,0.0,0.0
email.MagazineLine.com,6,0,0,0,0.0,0.0
ORP-B77QJR2-LT.princeton.edu,1,0,0,0,0.0,0.0
LISTSERV.SYR.EDU,8,0,0,0,0.0,0.0
CASE.EDU,12,0,0,0,0.0,0.0
princeton.Edu,6,0,0,0,0.0,0.0
DR-RON.COM,4,0,0,0,0.0,0.0
HarryandDavid.com,5,0,0,0,0.0,0.0
eTeacherHebrew.com,2,0,0,0,0.0,0.0
LISTS.UFL.EDU,24,0,0,0,0.0,0.0
GBM-9DMB6Y2.princeton.edu,1,0,0,0,0.0,0.0
CES-414Z6H2.princeton.edu,1,0,0,0,0.0,0.0
PPPL-MLL2SP4.princeton.edu,1,0,0,0,0.0,0.0
125-227-22-22.HINET-IP.hinet.net,1,0,0,0,0.0,0.0
LISTSERV.IT.NORTHWESTERN.EDU,16,0,0,0,0.0,0.0
TSM8.PRINCETON.EDU,32,0,0,0,0.0,0.0
UNIGE.CH,7,0,0,0,0.0,0.0
CriticalReach.Org,20,0,0,0,0.0,0.0
LISTSERV.UGA.EDU,2,0,0,0,0.0,0.0
WGU.edu,2,0,0,0,0.0,0.0
WGPON-37200-195.wateen.net,2,0,0,0,0.0,0.0
RopesGray.com,19,0,0,0,0.0,0.0
TMS-D3FP6Y2.princeton.edu,1,0,0,0,0.0,0.0
DEV-260PC0HHPM8.princeton.edu,1,0,0,0,0.0,0.0
Wabtec.com,3,0,0,0,0.0,0.0
ConcordVillage.com,1,0,0,0,0.0,0.0
