Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
*,464134,0,11435122,658595908,11435122.0,658595908.0
PDOM05.pu.win.princeton.edu,1465,0,0,0,0.0,0.0
124.230.49.37.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,31319,0,0,0,0.0,0.0
edog1.naturallanguageeditorservice.osi.office.net.akadns.net,8,0,0,0,0.0,0.0
tlu.dl.delivery.mp.microsoft.com,1157,0,14385,778434,14385.0,778434.0
pdom08.pu.win.princeton.edu,614,0,0,0,0.0,0.0
eis202lb-router-fw.princeton.edu,5115,0,0,0,0.0,0.0
1_i3gqmr0f.b.kpublish.kaltura.com,34,0,0,0,0.0,0.0
66.22.213.154.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,90,0,0,0,0.0,0.0
www.google-analytics.com,1019,0,4691,252658,4691.0,252658.0
www.googletagmanager.com,536,0,2168,114324,2168.0,114324.0
browser.pipe.aria.microsoft.com,1127,0,3255,184610,3255.0,184610.0
51.223.143.45.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,520,0,0,0,0.0,0.0
onedriveclubprodbn20019.blob.core.windows.net,1,0,0,0,0.0,0.0
r3---sn-ab5sznld.gvt1.com,14,0,20,1092,20.0,1092.0
215.101.132.38.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,3204,0,0,0,0.0,0.0
sender47-us-east-1-p.emailage.com,4,0,0,0,0.0,0.0
PDOM08.pu.win.princeton.edu,1530,0,0,0,0.0,0.0
webextensions.settings.services.mozilla.com,25,0,240,15720,240.0,15720.0
cdn-file-ssl-bizhi.ludashi.com,1,0,2546,137556,2546.0,137556.0
eis203lb-router-fw.princeton.edu,5074,0,0,0,0.0,0.0
d.la1-c1-ord.salesforceliveagent.com,14,0,0,0,0.0,0.0
browser.events.data.trafficmanager.net,409,0,145,9622,145.0,9622.0
googlehosted.l.googleusercontent.com,426,0,701,46150,701.0,46150.0
host-88-132-66-26.prtelecom.hu,32,0,0,0,0.0,0.0
biotechniques-update.com,5,0,0,0,0.0,0.0
pdom06.pu.win.princeton.edu,1811,0,0,0,0.0,0.0
PDOM07.pu.win.princeton.edu,1721,0,0,0,0.0,0.0
script.crazyegg.com.cdn.cloudflare.net,9,0,0,0,0.0,0.0
mobile.pipe.aria.microsoft.com,4109,0,808,49368,808.0,49368.0
fe3cr.delivery.mp.microsoft.com,50,0,330,17964,330.0,17964.0
dl.delivery.mp.microsoft.com,737,0,9659,521682,9659.0,521682.0
sb.scorecardresearch.com,509,0,983,61686,983.0,61686.0
edge.gycpi.b.yahoodns.net,157,0,244,13712,244.0,13712.0
proxyserverecs-1736642167.us-east-1.elb.amazonaws.com,228,0,0,0,0.0,0.0
lib-relay02.pu.win.princeton.edu,513,0,0,0,0.0,0.0
dcs-edge-va6-802167536.us-east-1.elb.amazonaws.com,62,0,20,1328,20.0,1328.0
lib-relay01.pu.win.princeton.edu,460,0,0,0,0.0,0.0
secure.insightexpressai.com,66,0,172,11064,172.0,11064.0
house-fastly-signed-us-east-1-prod.brightcovecdn.com,32,0,0,0,0.0,0.0
dualstack.us-eu.brightcove.map.fastly.net,26,0,0,0,0.0,0.0
www.googletagservices.com,233,0,2607,157670,2607.0,157670.0
cdn.content.prod.cms.msn.com,504,0,284,15864,284.0,15864.0
lh3.googleusercontent.com,442,0,9787,444034,9787.0,444034.0
151.60.96.156.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,128,0,0,0,0.0,0.0
124.215.197.1.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,245,0,0,0,0.0,0.0
p48-sharedstreams.icloud.com,1,0,26,1732,26.0,1732.0
v10.events.data.microsoft.com,4283,0,1936,107356,1936.0,107356.0
dualstack.exchange-prod-1441208382.us-east-1.elb.amazonaws.com,25,0,0,0,0.0,0.0
domains.gannett.map.fastly.net,37,0,0,0,0.0,0.0
pdom07.pu.win.princeton.edu,337,0,0,0,0.0,0.0
static.quantcast.mgr.consensu.org,17,0,31,1898,31.0,1898.0
dll-nolan-princeton-edu.princeton.edu,1,0,0,0,0.0,0.0
o3dc6qfmvfk-496ff2e9c6d22116-0-colab.googleusercontent.com,4,0,0,0,0.0,0.0
goo6v4hq97d-496ff2e9c6d22116-0-colab.googleusercontent.com,4,0,0,0,0.0,0.0
images-na.ssl-images-amazon.com,105,0,22163,1463002,22163.0,1463002.0
media.amazon.map.fastly.net,14,0,0,0,0.0,0.0
p13nlog-1106815646.us-east-1.elb.amazonaws.com,49,0,15,998,15.0,998.0
community-cdn-digitalocean-com.global.ssl.fastly.net,4,0,0,0,0.0,0.0
evoke-windowsservices-tas.msedge.net,100,0,24,1320,24.0,1320.0
waws-prod-blu-644ab9a6.cloudapp.net,3,0,0,0,0.0,0.0
connectivitycheck.gstatic.com,288,0,3941,261298,3941.0,261298.0
tsfe.trafficshaping.dsp.mp.microsoft.com,282,0,653,35862,653.0,35862.0
self.events.data.microsoft.com,595,0,401,22578,401.0,22578.0
eissql101w-netmgt.Princeton.EDU,4,0,0,0,0.0,0.0
harryanddavid-email.com,58,0,0,0,0.0,0.0
