"Timestamp, DNS Domain Queried"
1596553590.216654,wpad.home
1596553590.218825,www.bbc.com
1596553590.383912,fig.bbc.co.uk
1596553590.384758,static.bbc.co.uk
1596553590.385124,nav.files.bbci.co.uk
1596553590.385129,static.files.bbci.co.uk
1596553590.390422,wpad.home
1596553590.413174,safebrowsing.googleapis.com
1596553590.860035,mybbc-analytics.files.bbci.co.uk
1596553590.926841,ichef.bbci.co.uk
1596553590.985809,ad.crwdcntrl.net
1596553590.986713,securepubads.g.doubleclick.net
1596553591.001702,bbc.gscontxt.net
1596553591.002015,tags.crwdcntrl.net
1596553591.219752,secure-us.imrworldwide.com
1596553591.228495,idcta.api.bbc.co.uk
1596553591.233327,me-ssl.effectivemeasure.net
1596553591.257718,mybbc.files.bbci.co.uk
1596553591.266392,ssc.api.bbc.com
1596553591.362701,a1.api.bbc.co.uk
1596553591.406406,t.effectivemeasure.net
1596553591.488624,collector.effectivemeasure.net
1596553591.511285,adservice.google.com
1596553591.737452,tpc.googlesyndication.com
1596553591.760941,de5bf7dd40051879161a4608b1cb582b.safeframe.googlesyndication.com
1596553591.977321,privacy.crwdcntrl.net
1596553591.990263,sb.scorecardresearch.com
1596553592.216973,static.chartbeat.com
1596553592.227072,bcp.crwdcntrl.net
1596553592.259491,edigitalsurvey.com
1596553592.368161,polling.bbc.co.uk
1596553592.483856,ping.chartbeat.net
1596553592.513113,cdn.ampproject.org
1596553592.524024,www.googletagservices.com
1596553592.565017,pagead2.googlesyndication.com
1596553592.565648,www.google.com
1596553592.620813,cdn.teads.tv
1596553592.81375,pixel.adsafeprotected.com
1596553592.876596,a.teads.tv
1596553593.175438,googleads.g.doubleclick.net
1596553593.201321,static.adsafeprotected.com
1596553593.313453,t.teads.tv
1596553593.473836,dt.adsafeprotected.com
1596553593.913715,europe-west1-bbc-otg-traf-mgr-bq-prod-4591.cloudfunctions.net
1596553594.276146,sync.teads.tv
1596553594.277158,vast.doubleverify.com
1596553594.481799,match.adsrvr.org
1596553594.483415,secure.adnxs.com
1596553594.483659,pr-bh.ybp.yahoo.com
1596553594.513634,s8t.teads.tv
1596553594.524831,vpaid.doubleverify.com
1596553594.547264,cm.g.doubleclick.net
1596553594.826637,cdn.doubleverify.com
1596553594.831527,vtrk.doubleverify.com
1596553594.997465,studio-t.teads.tv
1596553595.258573,tps.doubleverify.com
1596553595.273653,cdn3.doubleverify.com
1596553597.426222,tps10220.doubleverify.com
1596553598.224154,wpad.home
1596553598.424006,wpad.home
1596553598.756474,ad.doubleclick.net
1596553622.913652,lb._dns-sd._udp.0.1.168.192.in-addr.arpa
1596553622.91408,lb._dns-sd._udp.home
1596553622.914085,b._dns-sd._udp.0.1.168.192.in-addr.arpa
1596553622.914264,db._dns-sd._udp.0.1.168.192.in-addr.arpa
1596553622.914268,b._dns-sd._udp.home
1596553622.914269,db._dns-sd._udp.home
1596553637.475066,wpad.home
1596553637.476907,wpad.home
