Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
192.168.1.4,151.101.184.81,56334,1596553590.249345,59008,www.bbc.com/fig.bbc.co.uk/
192.168.1.4,151.101.184.81,56335,1596553590.414069,6899,www.bbc.com/fig.bbc.co.uk/
192.168.1.4,184.25.147.20,56336,1596553590.420047,740396,static.bbc.co.uk/nav.files.bbci.co.uk/static.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/
192.168.1.4,184.25.147.20,56337,1596553590.421052,5120,static.bbc.co.uk/nav.files.bbci.co.uk/static.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/
192.168.1.4,184.25.147.20,56339,1596553590.424985,61233,static.bbc.co.uk/nav.files.bbci.co.uk/static.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/
192.168.1.4,184.25.147.20,56340,1596553590.42611,5120,static.bbc.co.uk/nav.files.bbci.co.uk/static.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/
192.168.1.4,184.25.147.20,56343,1596553590.426394,17024,static.bbc.co.uk/nav.files.bbci.co.uk/static.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/
192.168.1.4,184.25.147.20,56341,1596553590.426395,5120,static.bbc.co.uk/nav.files.bbci.co.uk/static.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/
192.168.1.4,184.25.147.20,56342,1596553590.426396,5120,static.bbc.co.uk/nav.files.bbci.co.uk/static.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/
192.168.1.4,184.25.147.20,56338,1596553590.426544,5120,static.bbc.co.uk/nav.files.bbci.co.uk/static.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/
192.168.1.4,172.217.10.10,56344,1596553590.447153,4251,safebrowsing.googleapis.com/
192.168.1.4,34.207.14.70,56345,1596553591.033196,6255,ad.crwdcntrl.net/
192.168.1.4,172.217.7.2,56346,1596553591.025037,116047,securepubads.g.doubleclick.net/
192.168.1.4,185.89.206.21,56347,1596553591.119293,4273,bbc.gscontxt.net/
192.168.1.4,99.84.42.126,56348,1596553591.046374,20572,tags.crwdcntrl.net/
192.168.1.4,18.189.245.159,56349,1596553591.259321,4776,secure-us.imrworldwide.com/
192.168.1.4,13.225.224.40,56350,1596553591.270126,14212,me-ssl.effectivemeasure.net/t.effectivemeasure.net/
192.168.1.4,52.48.252.41,56351,1596553591.387358,5522,ssc.api.bbc.com/
192.168.1.4,54.77.244.193,56352,1596553591.48259,4858,a1.api.bbc.co.uk/
192.168.1.4,52.206.179.63,56353,1596553591.530287,6835,collector.effectivemeasure.net/
192.168.1.4,172.217.6.194,56354,1596553591.55251,5526,adservice.google.com/
192.168.1.4,172.217.165.129,56355,1596553591.775725,6755,tpc.googlesyndication.com/
192.168.1.4,142.250.64.65,56356,1596553591.804704,6976,de5bf7dd40051879161a4608b1cb582b.safeframe.googlesyndication.com/
192.168.1.4,3.221.41.93,56357,1596553592.029349,9533,privacy.crwdcntrl.net/bcp.crwdcntrl.net/
192.168.1.4,23.63.184.12,56358,1596553592.026553,6101,sb.scorecardresearch.com/
192.168.1.4,13.225.221.96,56359,1596553592.252882,18459,static.chartbeat.com/
192.168.1.4,104.20.67.57,56360,1596553592.288837,4999,edigitalsurvey.com/
192.168.1.4,3.210.196.124,56361,1596553592.533436,4432,ping.chartbeat.net/
192.168.1.4,172.217.11.1,56362,1596553592.553729,151973,cdn.ampproject.org/
192.168.1.4,172.217.11.1,56364,1596553592.55403,7769,cdn.ampproject.org/
192.168.1.4,172.217.11.1,56363,1596553592.554032,7768,cdn.ampproject.org/
192.168.1.4,172.217.11.1,56366,1596553592.554033,7769,cdn.ampproject.org/
192.168.1.4,172.217.11.1,56365,1596553592.555276,7769,cdn.ampproject.org/
192.168.1.4,172.217.11.1,56367,1596553592.56022,7769,cdn.ampproject.org/
192.168.1.4,172.217.11.34,56369,1596553592.58372,3461,www.googletagservices.com/
192.168.1.4,172.217.11.34,56368,1596553592.583965,61612,www.googletagservices.com/
