"Timestamp, DNS Domain Queried"
1598620885.006776,www.bbc.com
1598620885.006779,adservice.google.com
1598620885.008356,nav.files.bbci.co.uk
1598620885.010602,googleads.g.doubleclick.net
1598620885.011855,fig.bbc.co.uk
1598620885.011857,mybbc-analytics.files.bbci.co.uk
1598620885.011858,cdn.optimizely.com
1598620885.015306,static.files.bbci.co.uk
1598620885.015308,static.bbci.co.uk
1598620885.016503,static.bbc.co.uk
1598620885.252838,safebrowsing.googleapis.com
1598620885.269667,c.go-mpulse.net
1598620885.269669,edigitalsurvey.com
1598620885.271442,ichef.bbci.co.uk
1598620885.365976,sa.bbc.co.uk
1598620885.367351,ssl.bbc.co.uk
1598620885.616404,tags.crwdcntrl.net
1598620885.623609,bbc.gscontxt.net
1598620885.637017,securepubads.g.doubleclick.net
1598620885.646647,ad.crwdcntrl.net
1598620885.739147,secure-us.imrworldwide.com
1598620885.743516,me-cdn.effectivemeasure.net
1598620885.750695,ssc.api.bbc.com
1598620885.750698,www.googletagservices.com
1598620885.811676,idcta.api.bbc.co.uk
1598620885.883685,me-ssl.effectivemeasure.net
1598620885.935153,mybbc.files.bbci.co.uk
1598620886.001986,tpc.googlesyndication.com
1598620886.012778,424b5ec2710ca8c23c81850e0cd66fdb.safeframe.googlesyndication.com
1598620886.038286,t.effectivemeasure.net
1598620886.058846,a1.api.bbc.co.uk
1598620886.084393,collector.effectivemeasure.net
1598620886.142493,privacy.crwdcntrl.net
1598620886.181297,detect-survey.effectivemeasure.net
1598620886.242687,survey.effectivemeasure.net
1598620886.30916,sb.scorecardresearch.com
1598620886.393656,static.chartbeat.com
1598620886.415009,bcp.crwdcntrl.net
1598620886.504038,idsync.rlcdn.com
1598620886.508267,pm.w55c.net
1598620886.509789,sync.sharethis.com
1598620886.514221,x.skimresources.com
1598620886.551382,global.ib-ibi.com
1598620886.576752,cdn.ampproject.org
1598620886.608134,p.skimresources.com
1598620886.609449,sync.crwdcntrl.net
1598620886.665405,pagead2.googlesyndication.com
1598620886.711763,ping.chartbeat.net
1598620886.744889,polling.bbc.co.uk
1598620886.801388,emp.bbci.co.uk
1598620886.801391,ib.mookie1.com
1598620886.852193,pixel.adsafeprotected.com
1598620887.111581,static.adsafeprotected.com
1598620887.37105,dt.adsafeprotected.com
1598620887.443732,emp.bbc.com
1598620887.70021,gel.files.bbci.co.uk
1598620887.715766,open.live.bbc.co.uk
1598620887.872937,europe-west1-bbc-otg-traf-mgr-bq-prod-4591.cloudfunctions.net
1598620888.206719,imasdk.googleapis.com
1598620888.343491,s0.2mdn.net
1598620900.688434,ib.3lift.com
1598620900.789978,tlx.3lift.com
1598620900.845288,fwvc.adsafeprotected.com
1598620900.856993,dtvc.adsafeprotected.com
1598620901.025044,eb2.3lift.com
1598620901.046107,stas.outbrain.com
1598620901.047398,b1t-nydc1.zemanta.com
1598620901.065155,obs.cheqzone.com
1598620901.11007,match.adsrvr.org
1598620901.111744,s.amazon-adsystem.com
1598620901.111747,c.bing.com
1598620901.11212,b1sync.zemanta.com
1598620901.112122,pr-bh.ybp.yahoo.com
1598620901.11436,rtb.mfadsrvr.com
1598620901.114365,ib.adnxs.com
1598620901.1302,img.3lift.com
1598620901.154053,stags.bluekai.com
1598620901.192125,ocsp.sectigo.com
1598620901.196488,sync.outbrain.com
1598620915.988326,clients4.google.com
1598620916.751337,www.gstatic.com
1598620916.822585,update.googleapis.com
1598620916.863081,storage.googleapis.com
1598620917.203121,redirector.gvt1.com
1598620917.236078,r2---sn-ab5l6nzr.gvt1.com
1598620921.916261,beacons.gcp.gvt2.com
1598620922.63143,valid.origin-apple.com.akadns.net
