Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
10.9.95.159,199.232.38.169,54427,1598620885.011859,62223,www.bbc.com/fig.bbc.co.uk/
10.9.95.159,199.232.38.169,54428,1598620885.01433,6129,www.bbc.com/fig.bbc.co.uk/
10.9.95.159,199.232.38.169,54430,1598620885.01851,6887,www.bbc.com/fig.bbc.co.uk/
10.9.95.159,172.217.12.130,54469,1598620886.67333,11216,adservice.google.com/googleads.g.doubleclick.net/www.googletagservices.com/pagead2.googlesyndication.com/
10.9.95.159,104.117.44.8,54429,1598620885.020342,61261,nav.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/static.files.bbci.co.uk/static.bbci.co.uk/static.bbc.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/gel.files.bbci.co.uk/
10.9.95.159,104.117.44.8,54432,1598620885.026509,17015,nav.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/static.files.bbci.co.uk/static.bbci.co.uk/static.bbc.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/gel.files.bbci.co.uk/
10.9.95.159,104.117.44.8,54433,1598620885.026513,20527,nav.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/static.files.bbci.co.uk/static.bbci.co.uk/static.bbc.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/gel.files.bbci.co.uk/
10.9.95.159,104.117.44.8,54434,1598620885.028302,1762826,nav.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/static.files.bbci.co.uk/static.bbci.co.uk/static.bbc.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/gel.files.bbci.co.uk/
10.9.95.159,104.117.44.8,54437,1598620885.277206,5121,nav.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/static.files.bbci.co.uk/static.bbci.co.uk/static.bbc.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/gel.files.bbci.co.uk/
10.9.95.159,104.117.44.8,54439,1598620885.277208,5121,nav.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/static.files.bbci.co.uk/static.bbci.co.uk/static.bbc.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/gel.files.bbci.co.uk/
10.9.95.159,104.117.44.8,54438,1598620885.277208,5121,nav.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/static.files.bbci.co.uk/static.bbci.co.uk/static.bbc.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/gel.files.bbci.co.uk/
10.9.95.159,104.117.44.8,54440,1598620885.304363,5121,nav.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/static.files.bbci.co.uk/static.bbci.co.uk/static.bbc.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/gel.files.bbci.co.uk/
10.9.95.159,104.117.44.8,54476,1598620887.456207,72360,nav.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/static.files.bbci.co.uk/static.bbci.co.uk/static.bbc.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/gel.files.bbci.co.uk/
10.9.95.159,104.117.44.8,54477,1598620887.457392,5136,nav.files.bbci.co.uk/mybbc-analytics.files.bbci.co.uk/static.files.bbci.co.uk/static.bbci.co.uk/static.bbc.co.uk/ichef.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/gel.files.bbci.co.uk/
10.9.95.159,23.46.61.47,54431,1598620885.023777,4472,cdn.optimizely.com/
10.9.95.159,172.217.10.138,54435,1598620885.25857,4719,safebrowsing.googleapis.com/
10.9.95.159,172.217.10.138,54436,1598620885.260882,3498,safebrowsing.googleapis.com/
10.9.95.159,104.20.67.57,54457,1598620886.438008,5447,edigitalsurvey.com/
10.9.95.159,13.226.36.93,54441,1598620885.623606,20638,tags.crwdcntrl.net/
10.9.95.159,150.136.200.75,54442,1598620885.634479,4170,bbc.gscontxt.net/
10.9.95.159,52.2.9.8,54443,1598620885.65661,6256,ad.crwdcntrl.net/
10.9.95.159,52.200.40.186,54445,1598620885.88904,4587,secure-us.imrworldwide.com/
