"Timestamp, DNS Domain Queried"
1599316962.972684,wpad.princeton.edu
1599316963.074273,www.bbc.com
1599316963.975691,gn-web-assets.api.bbc.com
1599316964.047211,gel.files.bbci.co.uk
1599316964.055021,static.files.bbci.co.uk
1599316964.14675,europe-west1-bbc-otg-traf-mgr-bq-prod-4591.cloudfunctions.net
1599316964.441824,ichef.bbci.co.uk
1599316964.450115,idcta.api.bbc.com
1599316964.506915,static.chartbeat.com
1599316964.510151,mybbc-analytics.files.bbci.co.uk
1599316964.546335,bbc.gscontxt.net
1599316964.59889,securepubads.g.doubleclick.net
1599316964.621721,ping.chartbeat.net
1599316964.633712,a1.api.bbc.co.uk
1599316964.636861,secure-us.imrworldwide.com
1599316964.648855,sb.scorecardresearch.com
1599316964.65841,me-ssl.effectivemeasure.net
1599316964.715988,t.effectivemeasure.net
1599316964.798024,adservice.google.com
1599316964.839619,tpc.googlesyndication.com
1599316964.859945,39ec04a001dc28321b5fe5ecab176371.safeframe.googlesyndication.com
1599316964.889159,collector.effectivemeasure.net
1599316965.004618,edigitalsurvey.com
1599316965.348358,pagead2.googlesyndication.com
1599316965.365745,cdn.ampproject.org
1599316965.383635,www.google.com
1599316965.566633,wss-primary.slack.com
1599316965.593689,googleads.g.doubleclick.net
1599316965.702788,csi.gstatic.com
1599316966.152822,ssl.gstatic.com
1599316978.607106,people-pa.clients6.google.com
1599316978.834838,26.client-channel.google.com
1599316980.783189,gateway.fe.apple-dns.net
1599316989.054964,wss-primary.slack.com
1599316993.946705,safebrowsing.googleapis.com
1599316993.949165,fig.bbc.co.uk
1599316993.950952,static.bbc.co.uk
1599316993.950954,nav.files.bbci.co.uk
1599316994.782451,tags.crwdcntrl.net
1599316994.832393,ad.crwdcntrl.net
1599316995.022511,idcta.api.bbc.co.uk
1599316995.049135,ssc.api.bbc.com
1599316995.194106,mybbc.files.bbci.co.uk
1599316995.309324,9459bf125220a849ef0ad7ca82adee87.safeframe.googlesyndication.com
1599316995.333767,privacy.crwdcntrl.net
1599316995.718556,bcp.crwdcntrl.net
1599316995.785022,www.googletagservices.com
1599316996.202772,pixel.adsafeprotected.com
1599316996.313645,polling.bbc.co.uk
1599316996.465892,emp.bbci.co.uk
1599316996.59297,static.adsafeprotected.com
1599316996.763316,dt.adsafeprotected.com
1599316996.826921,emp.bbc.com
1599316997.062183,static.bbci.co.uk
1599316997.988305,imasdk.googleapis.com
1599316998.114117,s0.2mdn.net
1599317018.249374,www.googleapis.com
1599317018.623,p51-contacts.icloud.com
1599317026.048803,beacons.gcp.gvt2.com
1599317030.334764,googlemail.l.google.com
