Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
10.9.95.159,151.101.208.81,61774,1599316963.081488,110102,www.bbc.com/fig.bbc.co.uk/
10.9.95.159,151.101.208.81,61816,1599316993.956324,6661,www.bbc.com/fig.bbc.co.uk/
10.9.95.159,13.32.202.107,61775,1599316963.985206,52825,gn-web-assets.api.bbc.com/
10.9.95.159,13.32.202.107,61787,1599316964.53566,20091,gn-web-assets.api.bbc.com/
10.9.95.159,13.32.202.107,61788,1599316964.53686,4831,gn-web-assets.api.bbc.com/
10.9.95.159,13.32.202.107,61792,1599316964.640327,19793,gn-web-assets.api.bbc.com/
10.9.95.159,184.26.46.222,61776,1599316964.058419,1704781,gel.files.bbci.co.uk/static.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.com/mybbc-analytics.files.bbci.co.uk/static.bbc.co.uk/nav.files.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/static.bbci.co.uk/
10.9.95.159,184.26.46.222,61777,1599316964.058422,5120,gel.files.bbci.co.uk/static.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.com/mybbc-analytics.files.bbci.co.uk/static.bbc.co.uk/nav.files.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/static.bbci.co.uk/
10.9.95.159,184.26.46.222,61778,1599316964.061368,5120,gel.files.bbci.co.uk/static.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.com/mybbc-analytics.files.bbci.co.uk/static.bbc.co.uk/nav.files.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/static.bbci.co.uk/
10.9.95.159,184.26.46.222,61780,1599316964.066693,178298,gel.files.bbci.co.uk/static.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.com/mybbc-analytics.files.bbci.co.uk/static.bbc.co.uk/nav.files.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/static.bbci.co.uk/
10.9.95.159,184.26.46.222,61779,1599316964.066695,5120,gel.files.bbci.co.uk/static.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.com/mybbc-analytics.files.bbci.co.uk/static.bbc.co.uk/nav.files.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/static.bbci.co.uk/
10.9.95.159,184.26.46.222,61781,1599316964.068822,5120,gel.files.bbci.co.uk/static.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.com/mybbc-analytics.files.bbci.co.uk/static.bbc.co.uk/nav.files.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/static.bbci.co.uk/
10.9.95.159,184.26.46.222,61782,1599316964.068824,5120,gel.files.bbci.co.uk/static.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.com/mybbc-analytics.files.bbci.co.uk/static.bbc.co.uk/nav.files.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/static.bbci.co.uk/
10.9.95.159,184.26.46.222,61783,1599316964.068824,4785,gel.files.bbci.co.uk/static.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.com/mybbc-analytics.files.bbci.co.uk/static.bbc.co.uk/nav.files.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/static.bbci.co.uk/
10.9.95.159,184.26.46.222,61784,1599316964.075251,5120,gel.files.bbci.co.uk/static.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.com/mybbc-analytics.files.bbci.co.uk/static.bbc.co.uk/nav.files.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/static.bbci.co.uk/
10.9.95.159,184.26.46.222,61827,1599316996.839794,157012,gel.files.bbci.co.uk/static.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.com/mybbc-analytics.files.bbci.co.uk/static.bbc.co.uk/nav.files.bbci.co.uk/idcta.api.bbc.co.uk/mybbc.files.bbci.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/static.bbci.co.uk/
10.9.95.159,216.239.36.54,61785,1599316964.151041,10319,europe-west1-bbc-otg-traf-mgr-bq-prod-4591.cloudfunctions.net/
10.9.95.159,54.192.29.64,61786,1599316964.514363,18381,static.chartbeat.com/
10.9.95.159,129.213.175.138,61789,1599316964.558149,4267,bbc.gscontxt.net/
10.9.95.159,129.213.175.138,61817,1599316994.77814,965,bbc.gscontxt.net/
10.9.95.159,172.217.10.98,61790,1599316964.604155,23201,securepubads.g.doubleclick.net/
10.9.95.159,34.193.109.183,61791,1599316964.630139,4930,ping.chartbeat.net/
10.9.95.159,52.48.246.30,61793,1599316964.715988,5273,a1.api.bbc.co.uk/
10.9.95.159,3.22.134.233,61794,1599316964.655258,6022,secure-us.imrworldwide.com/
10.9.95.159,104.117.1.101,61795,1599316964.661279,7282,sb.scorecardresearch.com/
10.9.95.159,52.85.144.63,61796,1599316964.667063,14112,me-ssl.effectivemeasure.net/t.effectivemeasure.net/
10.9.95.159,142.250.64.66,61797,1599316964.803359,5659,adservice.google.com/pagead2.googlesyndication.com/googleads.g.doubleclick.net/www.googletagservices.com/
10.9.95.159,142.250.64.66,61802,1599316965.354814,69687,adservice.google.com/pagead2.googlesyndication.com/googleads.g.doubleclick.net/www.googletagservices.com/
10.9.95.159,172.217.12.193,61798,1599316964.844944,6777,tpc.googlesyndication.com/cdn.ampproject.org/
10.9.95.159,172.217.12.193,61803,1599316965.371588,7881,tpc.googlesyndication.com/cdn.ampproject.org/
10.9.95.159,172.217.12.193,61804,1599316965.371591,119878,tpc.googlesyndication.com/cdn.ampproject.org/
10.9.95.159,172.217.12.193,61805,1599316965.371591,7881,tpc.googlesyndication.com/cdn.ampproject.org/
10.9.95.159,172.217.12.193,61806,1599316965.371592,7881,tpc.googlesyndication.com/cdn.ampproject.org/
10.9.95.159,172.217.12.193,61807,1599316965.371593,7880,tpc.googlesyndication.com/cdn.ampproject.org/
10.9.95.159,172.217.12.161,61799,1599316964.865705,10215,39ec04a001dc28321b5fe5ecab176371.safeframe.googlesyndication.com/9459bf125220a849ef0ad7ca82adee87.safeframe.googlesyndication.com/
10.9.95.159,34.235.186.1,61800,1599316964.898818,8015,collector.effectivemeasure.net/
10.9.95.159,104.20.68.57,61801,1599316965.008781,5379,edigitalsurvey.com/
10.9.95.159,142.250.64.100,61808,1599316965.388356,3659,www.google.com/
10.9.95.159,142.250.64.100,61665,1599316978.858959,7367,www.google.com/
10.9.95.159,54.82.161.19,61809,1599316965.577172,7086,wss-primary.slack.com/wss-primary.slack.com/
10.9.95.159,54.82.161.19,61674,1599316972.802126,32,wss-primary.slack.com/wss-primary.slack.com/
10.9.95.159,54.82.161.19,61812,1599316973.640198,5917,wss-primary.slack.com/wss-primary.slack.com/
10.9.95.159,54.82.161.19,61729,1599316988.032726,32,wss-primary.slack.com/wss-primary.slack.com/
10.9.95.159,54.82.161.19,61815,1599316989.065538,5791,wss-primary.slack.com/wss-primary.slack.com/
10.9.95.159,172.217.11.163,61810,1599316965.772715,3717,csi.gstatic.com/
10.9.95.159,172.217.11.35,61811,1599316966.159127,83027,ssl.gstatic.com/
10.9.95.159,172.217.6.234,61813,1599316978.614438,9519,people-pa.clients6.google.com/www.googleapis.com/
10.9.95.159,172.217.197.189,61424,1599316978.858963,15037,26.client-channel.google.com/
