"Timestamp, DNS Domain Queried"
1599316851.714627,xp.itunes-apple.com.akadns.net
1599316851.91858,play.itunes.apple.com.edgesuite.net
1599316854.237075,play.google.com
1599316856.359165,www.bbc.com
1599316856.904188,gn-web-assets.api.bbc.com
1599316856.928399,gel.files.bbci.co.uk
1599316856.928402,static.files.bbci.co.uk
1599316857.263792,ichef.bbci.co.uk
1599316857.278828,idcta.api.bbc.com
1599316857.411605,mybbc-analytics.files.bbci.co.uk
1599316857.426932,static.chartbeat.com
1599316857.469245,bbc.gscontxt.net
1599316857.524382,a1.api.bbc.co.uk
1599316857.559786,ping.chartbeat.net
1599316857.604333,partnerad.l.doubleclick.net
1599316857.606809,me-ssl.effectivemeasure.net
1599316857.621999,secure-us.imrworldwide.com
1599316857.629534,sb.scorecardresearch.com
1599316857.671143,t.effectivemeasure.net
1599316857.757555,adservice.google.com
1599316857.782419,collector.effectivemeasure.net
1599316857.926733,tpc.googlesyndication.com
1599316857.938447,c601707baf8c5e16e9cac9e25d30ac70.safeframe.googlesyndication.com
1599316858.038845,edigitalsurvey.com
1599316858.358911,pagead2.googlesyndication.com
1599316858.360233,googleads.g.doubleclick.net
1599316858.361628,cdn.doubleverify.com
1599316858.36163,www.google.com
1599316858.475637,rtb2.doubleverify.com
1599316858.493092,cdn3.doubleverify.com
1599316858.552614,bid.g.doubleclick.net
1599316858.564409,tps611.doubleverify.com
1599316858.664359,s0.2mdn.net
1599316858.691357,cdn.ampproject.org
1599316858.841046,googleads4.g.doubleclick.net
1599316859.008819,tps.doubleverify.com
1599316859.059887,tlx.3lift.com
1599316859.063776,ib.3lift.com
1599316859.10885,tps10241.doubleverify.com
1599316859.18928,eb2.3lift.com
1599316859.212126,rtb-use.mfadsrvr.com
1599316859.218298,de9a11s35xj3d.cloudfront.net
1599316859.223706,d31otfhas71ais.cloudfront.net
1599316859.226001,code.createjs.com
1599316860.844901,addons-pa.clients6.google.com
1599316862.954477,prod-envoy-wss-nlb-6b1502ebd720de68.elb.us-east-1.amazonaws.com
1599316869.084862,ade.googlesyndication.com
1599316889.351386,nycp-hlb.dvgtm.akadns.net
1599316889.419842,fig.bbc.co.uk
1599316889.419844,nav.files.bbci.co.uk
1599316889.421078,static.bbc.co.uk
1599316889.42108,static.bbci.co.uk
1599316889.626448,signaler-pa.clients6.google.com
1599316889.673536,b._dns-sd._udp.0.0.8.10.in-addr.arpa
1599316889.683383,bbc-ash.gscontxt.net
1599316889.683386,tags.crwdcntrl.net
1599316889.683387,ad.crwdcntrl.net
1599316889.774339,e8736.e7.akamaiedge.net
1599316889.838374,mybbc.files.bbci.co.uk
1599316889.953899,idcta.api.bbc.co.uk
1599316889.972757,4b4c0899d5c9f7e26efbeec4ab3df521.safeframe.googlesyndication.com
1599316890.205393,bcp.crwdcntrl.net
1599316890.228296,privacy.crwdcntrl.net
1599316890.273506,polling.bbc.co.uk
1599316890.355824,emp.bbci.co.uk
1599316890.54303,stas.outbrain.com
1599316890.545042,b1t-nydc1.zemanta.com
1599316890.559005,img.3lift.com
1599316890.57439,z.moatads.com
1599316890.599245,slack.com
1599316890.624805,b1sync.zemanta.com
1599316890.653014,fonts.googleapis.com
1599316890.728332,geo.moatads.com
1599316890.728336,px.moatads.com
1599316890.837289,fonts.gstatic.com
1599316890.887929,emp.bbc.com
1599316891.107246,imasdk.googleapis.com
1599316913.2482,13.client-channel.google.com
