Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
10.9.95.159,23.36.32.111,61675,1599316851.730284,4997,xp.itunes-apple.com.akadns.net/
10.9.95.159,23.50.225.10,61676,1599316851.933335,6064,play.itunes.apple.com.edgesuite.net/
10.9.95.159,172.217.7.14,61677,1599316854.24427,5126,play.google.com/
10.9.95.159,172.217.7.14,61442,1599316859.360751,2884,play.google.com/
10.9.95.159,172.217.7.14,61726,1599316860.75223,5783,play.google.com/
10.9.95.159,199.232.36.81,61678,1599316856.365071,6109,www.bbc.com/
10.9.95.159,199.232.36.81,61679,1599316856.372751,50916,www.bbc.com/
10.9.95.159,199.232.36.81,61683,1599316856.995514,59425,www.bbc.com/
10.9.95.159,13.32.202.117,61680,1599316856.923218,44403,gn-web-assets.api.bbc.com/
10.9.95.159,13.32.202.117,61685,1599316857.464102,13282,gn-web-assets.api.bbc.com/
10.9.95.159,13.32.202.117,61686,1599316857.46601,20132,gn-web-assets.api.bbc.com/
10.9.95.159,13.32.202.117,61690,1599316857.611232,19837,gn-web-assets.api.bbc.com/
10.9.95.159,23.204.254.228,61681,1599316856.939998,164674,gel.files.bbci.co.uk/static.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.com/mybbc-analytics.files.bbci.co.uk/
10.9.95.159,23.204.254.228,61682,1599316856.940002,902074,gel.files.bbci.co.uk/static.files.bbci.co.uk/ichef.bbci.co.uk/idcta.api.bbc.com/mybbc-analytics.files.bbci.co.uk/
10.9.95.159,13.225.57.5,61684,1599316857.436511,4108,static.chartbeat.com/
10.9.95.159,150.136.200.75,61687,1599316857.479576,4268,bbc.gscontxt.net/bbc-ash.gscontxt.net/
10.9.95.159,150.136.200.75,61743,1599316889.680981,4255,bbc.gscontxt.net/bbc-ash.gscontxt.net/
10.9.95.159,52.17.32.6,61688,1599316857.609131,4859,a1.api.bbc.co.uk/
10.9.95.159,3.94.177.12,61689,1599316857.571764,4567,ping.chartbeat.net/
10.9.95.159,172.217.10.98,61691,1599316857.614974,179613,partnerad.l.doubleclick.net/
10.9.95.159,52.85.144.91,61692,1599316857.620847,6821,me-ssl.effectivemeasure.net/t.effectivemeasure.net/
10.9.95.159,52.85.144.127,61695,1599316857.682881,13355,me-ssl.effectivemeasure.net/t.effectivemeasure.net/
10.9.95.159,3.22.134.233,61693,1599316857.642308,5808,secure-us.imrworldwide.com/
10.9.95.159,104.117.1.101,61694,1599316857.64648,5735,sb.scorecardresearch.com/e8736.e7.akamaiedge.net/
10.9.95.159,104.117.1.101,61746,1599316889.792389,5773,sb.scorecardresearch.com/e8736.e7.akamaiedge.net/
10.9.95.159,142.250.64.66,61696,1599316857.763084,6320,adservice.google.com/pagead2.googlesyndication.com/googleads.g.doubleclick.net/
10.9.95.159,142.250.64.66,61701,1599316858.356744,62517,adservice.google.com/pagead2.googlesyndication.com/googleads.g.doubleclick.net/
10.9.95.159,142.250.64.66,61702,1599316858.363969,18074,adservice.google.com/pagead2.googlesyndication.com/googleads.g.doubleclick.net/
10.9.95.159,142.250.64.66,61703,1599316858.366251,24421,adservice.google.com/pagead2.googlesyndication.com/googleads.g.doubleclick.net/
10.9.95.159,142.250.64.66,61704,1599316858.366254,12181,adservice.google.com/pagead2.googlesyndication.com/googleads.g.doubleclick.net/
10.9.95.159,142.250.64.66,61728,1599316862.876036,213,adservice.google.com/pagead2.googlesyndication.com/googleads.g.doubleclick.net/
10.9.95.159,34.235.186.1,61697,1599316857.791136,6853,collector.effectivemeasure.net/
10.9.95.159,34.235.186.1,61747,1599316889.888217,5338,collector.effectivemeasure.net/
10.9.95.159,172.217.12.193,61698,1599316857.933215,342683,tpc.googlesyndication.com/cdn.ampproject.org/
10.9.95.159,172.217.12.193,61713,1599316858.701235,230959,tpc.googlesyndication.com/cdn.ampproject.org/
10.9.95.159,172.217.12.193,61716,1599316858.895705,2655,tpc.googlesyndication.com/cdn.ampproject.org/
10.9.95.159,172.217.10.65,61699,1599316857.944832,10203,c601707baf8c5e16e9cac9e25d30ac70.safeframe.googlesyndication.com/4b4c0899d5c9f7e26efbeec4ab3df521.safeframe.googlesyndication.com/
10.9.95.159,104.20.67.57,61700,1599316858.044177,6419,edigitalsurvey.com/
10.9.95.159,104.124.102.104,61705,1599316858.369039,94970,cdn.doubleverify.com/cdn3.doubleverify.com/
10.9.95.159,104.124.102.104,61708,1599316858.503114,5664,cdn.doubleverify.com/cdn3.doubleverify.com/
10.9.95.159,172.217.11.4,61706,1599316858.368329,5849,www.google.com/
10.9.95.159,204.154.111.111,61707,1599316858.482336,7077,rtb2.doubleverify.com/tps611.doubleverify.com/tps.doubleverify.com/tps10241.doubleverify.com/
10.9.95.159,204.154.111.111,61710,1599316858.572134,9113,rtb2.doubleverify.com/tps611.doubleverify.com/tps.doubleverify.com/tps10241.doubleverify.com/
10.9.95.159,204.154.111.111,61711,1599316858.618932,1509,rtb2.doubleverify.com/tps611.doubleverify.com/tps.doubleverify.com/tps10241.doubleverify.com/
10.9.95.159,204.154.111.111,61717,1599316859.015206,7656,rtb2.doubleverify.com/tps611.doubleverify.com/tps.doubleverify.com/tps10241.doubleverify.com/
10.9.95.159,204.154.111.111,61720,1599316859.132799,6824,rtb2.doubleverify.com/tps611.doubleverify.com/tps.doubleverify.com/tps10241.doubleverify.com/
10.9.95.159,209.85.201.154,61709,1599316858.571882,17487,bid.g.doubleclick.net/
10.9.95.159,172.217.10.134,61712,1599316858.679235,43532,s0.2mdn.net/
10.9.95.159,172.217.10.134,61714,1599316858.841043,233006,s0.2mdn.net/
10.9.95.159,172.217.10.66,61715,1599316858.851525,5259,googleads4.g.doubleclick.net/ade.googlesyndication.com/
10.9.95.159,172.217.10.66,61733,1599316889.376422,4422,googleads4.g.doubleclick.net/ade.googlesyndication.com/
10.9.95.159,52.86.14.148,61718,1599316859.071791,6356,tlx.3lift.com/
10.9.95.159,13.225.230.86,61719,1599316859.070794,66449,ib.3lift.com/
10.9.95.159,3.221.13.230,61721,1599316859.200933,13584,eb2.3lift.com/
10.9.95.159,35.207.24.140,61722,1599316859.237053,7204,rtb-use.mfadsrvr.com/
10.9.95.159,13.32.196.137,61723,1599316859.228145,369737,de9a11s35xj3d.cloudfront.net/
10.9.95.159,13.32.192.199,61724,1599316859.234266,21570,d31otfhas71ais.cloudfront.net/
10.9.95.159,104.124.100.195,61725,1599316859.237262,72324,code.createjs.com/
10.9.95.159,172.217.9.234,61727,1599316860.852039,9388,addons-pa.clients6.google.com/
10.9.95.159,172.217.9.234,61440,1599316860.936386,5247,addons-pa.clients6.google.com/
10.9.95.159,54.82.161.19,61729,1599316862.966269,5946,prod-envoy-wss-nlb-6b1502ebd720de68.elb.us-east-1.amazonaws.com/
10.9.95.159,54.82.161.19,61674,1599316867.797337,315,prod-envoy-wss-nlb-6b1502ebd720de68.elb.us-east-1.amazonaws.com/
10.9.95.159,54.82.161.19,61672,1599316870.371412,1456,prod-envoy-wss-nlb-6b1502ebd720de68.elb.us-east-1.amazonaws.com/
10.9.95.159,204.154.111.112,61732,1599316889.358719,5992,nycp-hlb.dvgtm.akadns.net/
10.9.95.159,204.154.111.112,61734,1599316889.419669,746,nycp-hlb.dvgtm.akadns.net/
10.9.95.159,151.101.208.81,61735,1599316889.427632,6190,fig.bbc.co.uk/
10.9.95.159,184.26.46.222,61736,1599316889.433325,4918,e3891.dscf.akamaiedge.net/nav.files.bbci.co.uk/static.bbc.co.uk/static.bbci.co.uk/mybbc.files.bbci.co.uk/idcta.api.bbc.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/
10.9.95.159,184.26.46.222,61737,1599316889.434768,4918,e3891.dscf.akamaiedge.net/nav.files.bbci.co.uk/static.bbc.co.uk/static.bbci.co.uk/mybbc.files.bbci.co.uk/idcta.api.bbc.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/
10.9.95.159,184.26.46.222,61738,1599316889.435496,54548,e3891.dscf.akamaiedge.net/nav.files.bbci.co.uk/static.bbc.co.uk/static.bbci.co.uk/mybbc.files.bbci.co.uk/idcta.api.bbc.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/
