"Timestamp, DNS Domain Queried"
1598793702.165153,cyrbwfhxoytqpz.princeton.edu
1598793702.165157,vvvywscsxgjz.princeton.edu
1598793702.165479,jallbpincptrh.princeton.edu
1598793702.16897,cyrbwfhxoytqpz.princeton.edu
1598793702.168973,vvvywscsxgjz.princeton.edu
1598793702.171582,jallbpincptrh.princeton.edu
1598793702.731394,clients2.google.com
1598793704.21856,mtalk.google.com
1598793704.219958,android.clients.google.com
1598793704.441382,update.googleapis.com
1598793706.503207,encrypted-tbn0.gstatic.com
1598793707.181168,jasonjosephkim.com
1598793707.181172,jjk7.mycpanel.princeton.edu
1598793707.190272,maxcdn.bootstrapcdn.com
1598793707.198737,safebrowsing.google.com
1598793707.376574,github.com
1598793707.377516,www.linkedin.com
1598793720.43674,18.client-channel.google.com
