Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
10.9.95.159,172.217.10.78,54412,1598793719.833494,1311,clients2.google.com/android.clients.google.com/
10.9.95.159,74.125.192.189,54544,1598793703.447325,104,unknown/
74.125.192.189,10.9.95.159,443,1598793703.447384,52,unknown/
10.9.95.159,172.253.63.188,54600,1598793704.230042,5049,mtalk.google.com/
172.253.63.188,10.9.95.159,5228,1598793704.218775,2432,unknown/
10.9.95.159,172.217.12.174,54410,1598793704.300063,2526,android.clients.google.com/
10.9.95.159,142.250.64.78,54604,1598793707.204067,5570,android.clients.google.com/safebrowsing.google.com/
10.9.95.159,172.217.10.14,54411,1598793719.444596,20522,android.clients.google.com/
10.9.95.159,172.217.12.142,54439,1598793704.297928,2619,android.clients.google.com/
10.9.95.159,172.217.12.142,54446,1598793719.423632,757,android.clients.google.com/
172.217.12.142,10.9.95.159,443,1598793704.293959,19632,unknown/
172.217.12.174,10.9.95.159,443,1598793704.294848,24050,unknown/
10.9.95.159,172.217.197.189,54431,1598793704.566268,972,unknown/
172.217.197.189,10.9.95.159,443,1598793704.566322,1472,unknown/
3.208.72.69,10.9.95.159,443,1598793706.72214,401,unknown/
10.9.95.159,3.208.72.69,53776,1598793706.732781,297,unknown/
10.9.95.159,216.239.32.21,54601,1598793707.187372,636,jasonjosephkim.com/
10.9.95.159,216.239.32.21,54602,1598793707.189212,60,jasonjosephkim.com/
10.9.95.159,159.203.178.14,54603,1598793707.19241,4347,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,54606,1598793707.372135,930459,jjk7.mycpanel.princeton.edu/
216.239.32.21,10.9.95.159,80,1598793707.18146,768,unknown/
159.203.178.14,10.9.95.159,80,1598793707.186636,20245,unknown/
10.9.95.159,209.197.3.15,54605,1598793707.368913,26342,maxcdn.bootstrapcdn.com/
142.250.64.78,10.9.95.159,443,1598793707.198916,2124,unknown/
209.197.3.15,10.9.95.159,443,1598793707.362546,2249,unknown/
52.202.62.254,10.9.95.159,443,1598793711.632439,139,unknown/
10.9.95.159,52.202.62.254,53771,1598793711.642404,83,unknown/
35.186.224.25,10.9.95.159,443,1598793714.569699,40,unknown/
10.9.95.159,35.186.224.25,54526,1598793714.576116,52,unknown/
172.217.10.14,10.9.95.159,443,1598793719.441231,17641,unknown/
172.217.10.78,10.9.95.159,443,1598793719.829986,3416,unknown/
172.217.10.138,10.9.95.159,443,1598793719.831042,13648,unknown/
10.9.95.159,172.217.10.138,54404,1598793719.834827,30007,unknown/
10.9.95.159,172.217.10.138,54416,1598793719.840525,1608,unknown/
172.217.165.132,10.9.95.159,443,1598793720.259197,5249,unknown/
10.9.95.159,172.217.165.132,54414,1598793720.265043,8983,unknown/
10.9.95.159,173.194.204.189,54607,1598793720.622706,5828,18.client-channel.google.com/
173.194.204.189,10.9.95.159,443,1598793720.438214,5061,unknown/
