Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
10.9.95.159,173.194.207.189,61504,1599315898.104038,10668,25.client-channel.google.com/
10.9.95.159,142.250.64.67,61505,1599315899.292638,83027,ssl.gstatic.com/
10.9.95.159,159.203.178.14,61506,1599315902.211362,630819,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61507,1599315902.268249,269447,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61514,1599315923.109043,49751,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61515,1599315923.142586,97020,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61516,1599315923.144676,52842,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61517,1599315923.145761,347618,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61518,1599315923.145764,216934,jjk7.mycpanel.princeton.edu/
10.9.95.159,209.197.3.15,61508,1599315902.271611,24879,maxcdn.bootstrapcdn.com/
10.9.95.159,172.217.10.10,61509,1599315902.268251,5384,fonts.googleapis.com/
10.9.95.159,172.217.7.3,61510,1599315902.413936,37829,fonts.gstatic.com/
10.9.95.159,172.217.7.3,61512,1599315902.413936,3263,fonts.gstatic.com/
10.9.95.159,172.217.7.3,61511,1599315902.413937,3265,fonts.gstatic.com/
10.9.95.159,54.211.89.16,61513,1599315916.73246,4463,slack.com/
10.9.95.159,172.217.197.189,61424,1599315927.75482,6571,2.client-channel.google.com/
