Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
10.9.95.159,3.211.131.165,61480,1599315814.79945,6152,api-glb-use1c.smoot.apple.com/
10.9.95.159,159.203.178.14,61481,1599315815.096458,1,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61482,1599315815.110356,630304,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61483,1599315815.139099,269447,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61485,1599315815.334883,1033,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61487,1599315837.963278,49752,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61488,1599315837.993509,97021,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61489,1599315837.995817,52843,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61490,1599315837.997778,347619,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61491,1599315837.999071,216935,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,61492,1599315838.101555,518,jjk7.mycpanel.princeton.edu/
10.9.95.159,172.217.10.10,61484,1599315815.143366,5292,fonts.googleapis.com/
10.9.95.159,54.82.161.19,61486,1599315833.493996,5538,wss-primary.slack.com/
10.9.95.159,54.82.161.19,61438,1599315840.456987,1302,wss-primary.slack.com/
10.9.95.159,172.217.197.189,61424,1599315847.852477,6632,10.client-channel.google.com/
