Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
10.9.95.159,173.194.207.189,54812,1598795457.57367,103,unknown/
173.194.207.189,10.9.95.159,443,1598795457.573752,52,unknown/
10.9.95.159,172.217.197.189,54431,1598795458.495812,313,unknown/
172.217.197.189,10.9.95.159,443,1598795458.495878,156,unknown/
10.9.95.159,159.203.178.14,54934,1598795460.627156,333871,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,54937,1598795460.685807,462188,jjk7.mycpanel.princeton.edu/
10.9.95.159,159.203.178.14,54938,1598795460.726867,60,jjk7.mycpanel.princeton.edu/
159.203.178.14,10.9.95.159,80,1598795460.621218,23153,unknown/
10.9.95.159,209.197.3.15,54935,1598795460.680693,26425,maxcdn.bootstrapcdn.com/
10.9.95.159,142.250.64.74,54936,1598795460.67942,5786,fonts.googleapis.com/
209.197.3.15,10.9.95.159,443,1598795460.674392,2466,unknown/
142.250.64.74,10.9.95.159,443,1598795460.674479,1947,unknown/
10.9.95.159,172.217.12.195,54939,1598795460.822669,39758,fonts.gstatic.com/
10.9.95.159,172.217.12.195,54940,1598795460.822672,3584,fonts.gstatic.com/
10.9.95.159,172.217.12.195,54941,1598795460.822673,3583,fonts.gstatic.com/
172.217.12.195,10.9.95.159,443,1598795460.818172,5016,unknown/
10.9.95.159,172.217.12.174,54410,1598795463.104097,1086,unknown/
172.217.12.174,10.9.95.159,443,1598795463.104165,1659,unknown/
35.186.224.47,10.9.95.159,443,1598795465.02776,139,unknown/
10.9.95.159,35.186.224.47,53790,1598795465.038462,135,unknown/
172.253.63.188,10.9.95.159,5228,1598795468.015331,40,unknown/
10.9.95.159,172.253.63.188,54600,1598795468.025765,40,unknown/
172.217.165.130,10.9.95.159,443,1598795468.24439,360,unknown/
209.85.144.189,10.9.95.159,443,1598795468.245958,180,unknown/
10.9.95.159,172.217.165.130,54901,1598795468.25215,156,unknown/
10.9.95.159,172.217.165.130,54902,1598795468.252154,156,unknown/
10.9.95.159,209.85.144.189,54852,1598795468.263318,156,unknown/
3.208.72.69,10.9.95.159,443,1598795469.023204,401,unknown/
10.9.95.159,3.208.72.69,53776,1598795469.035019,297,unknown/
10.9.95.159,35.190.244.239,53781,1598795469.655148,63,unknown/
35.190.244.239,10.9.95.159,4070,1598795469.655215,52,unknown/
52.202.62.254,10.9.95.159,443,1598795471.630245,139,unknown/
10.9.95.159,52.202.62.254,53771,1598795471.640347,83,unknown/
