Client IP,Server IP,Client Port,Sequence Diff,Possible Domains
192.168.1.4,23.41.6.190,53079,2924306,www.npr.org/media.npr.org/
192.168.1.4,23.200.224.184,53080,125484,cdn.optimizely.com/
192.168.1.4,13.225.224.40,53081,9873,static-assets.npr.org/
192.168.1.4,13.226.38.110,53083,713549,bundles.npr.org/
192.168.1.4,13.226.38.110,53082,5933,bundles.npr.org/
192.168.1.4,13.226.38.110,53084,6002,bundles.npr.org/
192.168.1.4,192.229.163.25,53085,134556,platform.twitter.com/
192.168.1.4,192.229.163.25,53091,191040,platform.twitter.com/
192.168.1.4,192.229.163.25,53089,4322,platform.twitter.com/
192.168.1.4,192.229.163.25,53090,4322,platform.twitter.com/
192.168.1.4,104.92.243.49,53086,6284,a11107397707.cdn.optimizely.com/
192.168.1.4,104.244.42.8,53087,6143,syndication.twitter.com/
192.168.1.4,34.195.70.92,53088,3925,errors.client.optimizely.com/
192.168.1.4,34.195.70.92,53092,146,errors.client.optimizely.com/
192.168.1.4,216.35.221.71,53093,4978,api.npr.org/
192.168.1.4,172.217.12.174,53094,23804,www.google-analytics.com/
192.168.1.4,157.240.18.19,53095,173399,connect.facebook.net/
192.168.1.4,172.217.10.4,53096,4528,www.google.com/
192.168.1.4,172.217.10.66,53097,21708,www.googletagservices.com/
192.168.1.4,23.66.167.191,53098,5639,sb.scorecardresearch.com/
192.168.1.4,23.200.224.160,53099,21795,legacy.npr.org/
192.168.1.4,52.0.56.254,53100,4799,secure-us.imrworldwide.com/
192.168.1.4,34.225.6.22,53101,3477,logx.optimizely.com/
192.168.1.4,172.217.10.67,53102,138945,www.gstatic.com/
192.168.1.4,172.217.12.194,53103,98740,securepubads.g.doubleclick.net/
192.168.1.4,172.217.10.34,53104,5640,adservice.google.com/googleads.g.doubleclick.net/
192.168.1.4,157.240.18.35,53105,3027,www.facebook.com/
192.168.1.4,192.229.173.16,53106,9699,pbs.twimg.com/
192.168.1.4,172.217.10.129,53107,6755,tpc.googlesyndication.com/
192.168.1.4,172.217.3.97,53108,7006,f25aa330610eceeac46fbab292d20abc.safeframe.googlesyndication.com/
192.168.1.4,142.250.31.156,53109,4439,stats.g.doubleclick.net/
192.168.1.4,13.225.221.96,53110,18314,static.chartbeat.com/
192.168.1.4,172.217.10.234,53111,4194,content-autofill.googleapis.com/
192.168.1.4,172.217.6.226,53112,10267,pagead2.googlesyndication.com/
192.168.1.4,51.81.109.167,53113,24662,ads.revjet.com/
192.168.1.4,54.173.18.49,53114,3859,ping.chartbeat.net/
192.168.1.4,72.21.91.41,53115,99676,cdn.revjet.com/
192.168.1.4,72.21.91.41,53116,5709,cdn.revjet.com/
192.168.1.4,107.6.93.89,53117,6602,pix.revjet.com/
192.168.1.4,172.217.6.234,53118,5029,fonts.googleapis.com/
192.168.1.4,172.217.11.3,53119,32547,fonts.gstatic.com/
192.168.1.4,172.217.11.3,53120,1419,fonts.gstatic.com/
192.168.1.4,172.217.7.10,53121,4905,safebrowsing.googleapis.com/
