"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","4,428,828","100"
"2","www.google.com","11,697,940","100"
"3","youtube.com","17,098,612","100"
"4","docs.google.com","2,150,122","99"
"5","microsoft.com","4,029,613","99"
"6","play.google.com","2,262,278","99"
"7","support.google.com","4,375,176","99"
"8","www.blogger.com","24,548,484","99"
"9","en.wikipedia.org","5,392,265","98"
"10","mozilla.org","1,886,060","98"
"11","accounts.google.com","2,523,918","98"
"12","adobe.com","2,925,706","98"
"13","plus.google.com","12,661,512","98"
"14","linkedin.com","8,439,320","98"
"15","wordpress.org","9,346,681","98"
"16","cloudflare.com","4,749,229","97"
"17","maps.google.com","4,433,417","97"
"18","drive.google.com","1,641,352","97"
"19","bp.blogspot.com","15,673,562","97"
"20","github.com","1,893,060","97"
"21","vimeo.com","3,060,207","97"
"22","sites.google.com","1,620,289","97"
"23","youtu.be","3,640,905","97"
"24","googleusercontent.com","2,132,952","97"
"25","amazon.com","3,957,839","96"
"26","bbc.co.uk","1,405,312","96"
"27","line.me","533,705","96"
"28","vk.com","1,589,944","96"
"29","dailymotion.com","1,068,314","96"
"30","istockphoto.com","3,026,597","96"
"31","medium.com","1,054,621","96"
"32","europa.eu","1,641,059","96"
"33","facebook.com","44,636,612","96"
"34","creativecommons.org","1,513,888","96"
"35","washingtonpost.com","852,796","95"
"36","feedburner.com","1,745,409","95"
"37","networkadvertising.org","717,613","95"
"38","google.co.jp","621,388","95"
"39","nytimes.com","1,656,562","95"
"40","wikimedia.org","1,349,837","95"
"41","developers.google.com","863,624","95"
"42","google.de","1,093,693","95"
"43","amazon.co.jp","758,814","95"
"44","mail.google.com","420,311","95"
"45","w3.org","1,049,940","95"
"46","live.com","732,631","95"
"47","hugedomains.com","5,232,026","95"
"48","theguardian.com","1,173,852","95"
"49","policies.google.com","1,028,004","95"
"50","slideshare.net","859,776","95"
"51","reuters.com","715,418","95"
"52","myspace.com","1,281,640","95"
"53","www.yahoo.com","918,400","95"
"54","nih.gov","1,003,779","95"
"55","es.wikipedia.org","763,926","95"
"56","google.com.br","265,926","95"
"57","pt.wikipedia.org","355,698","95"
"58","fr.wikipedia.org","517,789","95"
"59","uol.com.br","542,460","95"
"60","msn.com","991,524","95"
"61","news.google.com","679,089","95"
"62","google.es","407,690","95"
"63","globo.com","379,952","95"
"64","paypal.com","867,267","95"
"65","photos.google.com","228,346","95"
"66","dropbox.com","913,931","95"
"67","gstatic.com","577,082","95"
"68","t.me","438,784","95"
"69","google.co.uk","547,032","95"
"70","forbes.com","901,714","95"
"71","mail.ru","476,829","95"
"72","imdb.com","1,233,324","95"
"73","whatsapp.com","1,398,687","95"
"74","news.yahoo.com","567,985","95"
"75","bbc.com","631,724","95"
"76","cnn.com","1,196,180","95"
"77","apache.org","799,798","94"
"78","archive.org","849,967","94"
"79","cpanel.net","1,176,073","94"
"80","files.wordpress.com","1,968,463","94"
"81","mediafire.com","759,020","94"
"82","privacyshield.gov","423,542","94"
"83","samsung.com","300,590","94"
"84","twitter.com","47,793,684","94"
"85","amazon.co.uk","626,722","94"
"86","books.google.com","342,226","94"
"87","search.google.com","925,041","94"
"88","abril.com.br","225,297","94"
"89","jimdofree.com","1,622,341","94"
"90","www.wix.com","882,913","94"
"91","gnu.org","555,634","94"
"92","youronlinechoices.com","530,218","94"
"93","code.google.com","324,289","94"
"94","draft.blogger.com","5,593,809","94"
"95","rakuten.co.jp","576,727","94"
"96","groups.google.com","304,103","94"
"97","rt.com","228,380","94"
"98","tools.google.com","1,458,378","94"
"99","buydomains.com","1,186,954","94"
"100","huffingtonpost.com","893,991","94"
"101","google.fr","383,868","94"
"102","lefigaro.fr","172,161","94"
"103","change.org","366,301","94"
"104","www.gov.uk","449,224","94"
"105","booking.com","353,112","94"
"106","nypost.com","269,402","94"
"107","ft.com","339,211","94"
"108","get.google.com","518,086","94"
"109","soundcloud.com","1,525,808","94"
"110","independent.co.uk","512,406","94"
"111","picasaweb.google.com","625,109","94"
"112","goo.gl","4,155,323","94"
"113","dailymail.co.uk","775,198","94"
"114","bit.ly","3,809,418","94"
"115","myaccount.google.com","249,959","94"
"116","android.com","266,321","94"
"117","harvard.edu","561,243","94"
"118","techcrunch.com","383,039","94"
"119","opera.com","726,412","94"
"120","elpais.com","316,875","94"
"121","ebay.com","882,861","94"
"122","wsj.com","798,264","94"
"123","aol.com","645,617","94"
"124","ipv4.google.com","358,293","94"
"125","telegram.me","256,878","94"
"126","telegraph.co.uk","774,611","94"
"127","hp.com","379,928","94"
"128","pinterest.com","6,895,216","94"
"129","engadget.com","400,798","94"
"130","fb.com","328,759","94"
"131","bing.com","860,948","94"
"132","oracle.com","505,122","94"
"133","hatena.ne.jp","1,453,921","94"
"134","aboutads.info","495,008","94"
"135","wired.com","531,366","94"
"136","bloomberg.com","647,342","94"
"137","foxnews.com","445,566","94"
"138","ok.ru","322,573","94"
"139","google.it","407,009","94"
"140","nasa.gov","534,338","94"
"141","wikia.com","471,957","94"
"142","amazon.de","487,845","94"
"143","fandom.com","422,974","94"
"144","aliexpress.com","480,296","94"
"145","usatoday.com","626,164","94"
"146","steampowered.com","206,343","94"
"147","scribd.com","624,939","94"
"148","gravatar.com","1,653,454","94"
"149","de.wikipedia.org","589,302","94"
"150","issuu.com","814,535","94"
"151","terra.com.br","187,238","94"
"152","webmd.com","530,946","94"
"153","thesun.co.uk","248,251","94"
"154","marketingplatform.google.com","733,261","94"
"155","ted.com","466,580","94"
"156","tinyurl.com","1,203,856","94"
"157","mirror.co.uk","254,191","94"
"158","translate.google.com","272,318","94"
"159","google.ru","174,730","94"
"160","un.org","403,087","94"
"161","cnet.com","542,630","94"
"162","plesk.com","660,799","94"
"163","ig.com.br","132,966","94"
"164","nginx.com","345,223","93"
"165","amazon.fr","215,803","93"
"166","search.yahoo.com","372,998","93"
"167","welt.de","156,579","93"
"168","fastcompany.com","247,386","93"
"169","ggpht.com","570,274","93"
"170","namecheap.com","562,073","93"
"171","playstation.com","174,741","93"
"172","yelp.com","798,268","93"
"173","whitehouse.gov","307,892","93"
"174","naver.com","398,103","93"
"175","mysql.com","386,902","93"
"176","naver.jp","127,294","93"
"177","so-net.ne.jp","176,319","93"
"178","lycos.com","713,076","93"
"179","pixabay.com","266,087","93"
"180","trustpilot.com","289,482","93"
"181","netvibes.com","1,142,398","93"
"182","photobucket.com","1,610,179","93"
"183","biglobe.ne.jp","224,650","93"
"184","usnews.com","318,182","93"
"185","espn.com","283,697","93"
"186","hollywoodreporter.com","212,486","93"
"187","google.co.id","130,907","93"
"188","akamaihd.net","409,285","93"
"189","www.skyrock.com","10,744,307","93"
"190","qq.com","4,014,587","93"
"191","ikea.com","258,514","93"
"192","ea.com","157,849","93"
"193","netflix.com","223,804","93"
"194","who.int","402,503","93"
"195","nationalgeographic.com","520,635","93"
"196","economist.com","299,450","93"
"197","yandex.ru","926,966","93"
"198","php.net","596,661","93"
"199","finance.yahoo.com","358,759","93"
"200","cisco.com","202,691","93"
"201","nokia.com","158,219","93"
"202","cambridge.org","207,292","93"
"203","ru.wikipedia.org","366,063","93"
"204","chicagotribune.com","295,920","93"
"205","businessinsider.com","552,757","93"
"206","pl.wikipedia.org","125,450","93"
"207","lemonde.fr","215,971","93"
"208","allaboutcookies.org","364,993","93"
"209","parallels.com","589,655","93"
"210","id.wikipedia.org","393,771","93"
"211","ucoz.ru","188,477","93"
"212","umich.edu","290,633","93"
"213","cbsnews.com","421,706","93"
"214","mega.nz","143,269","93"
"215","imageshack.us","794,950","93"
"216","xinhuanet.com","637,734","93"
"217","ovh.net","696,412","93"
"218","dw.com","209,725","93"
"219","detik.com","333,882","93"
"220","shopify.com","1,054,264","93"
"221","newsweek.com","238,877","93"
"222","ovh.co.uk","547,562","93"
"223","washington.edu","296,049","93"
"224","latimes.com","571,647","93"
"225","goodreads.com","631,962","93"
"226","storage.googleapis.com","403,146","93"
"227","abc.net.au","316,381","93"
"228","ign.com","232,126","93"
"229","walmart.com","260,013","93"
"230","worldbank.org","197,596","93"
"231","gen.xyz","6,455,579","93"
"232","list-manage.com","589,722","93"
"233","academia.edu","277,898","93"
"234","pexels.com","122,959","93"
"235","adssettings.google.com","286,191","93"
"236","addtoany.com","686,178","93"
"237","ria.ru","158,782","93"
"238","google.com.tw","124,768","93"
"239","theatlantic.com","413,602","93"
"240","target.com","225,109","93"
"241","google.ca","292,842","93"
"242","bp1.blogger.com","520,366","93"
"243","psychologytoday.com","260,946","93"
"244","guardian.co.uk","526,944","93"
"245","www.weebly.com","308,371","93"
"246","bandcamp.com","501,986","93"
"247","bloglovin.com","437,369","93"
"248","viglink.com","269,554","93"
"249","metro.co.uk","171,964","93"
"250","ja.wikipedia.org","322,605","93"
"251","sfgate.com","319,286","93"
"252","rtve.es","138,837","93"
"253","cdc.gov","498,304","93"
"254","express.co.uk","194,941","93"
"255","marriott.com","330,536","93"
"256","berkeley.edu","380,347","93"
"257","urbandictionary.com","206,599","93"
"258","bund.de","473,927","93"
"259","e-recht24.de","442,208","93"
"260","sky.com","177,889","93"
"261","m.wikipedia.org","219,325","93"
"262","my.yahoo.com","1,125,583","93"
"263","loc.gov","347,744","93"
"264","depositfiles.com","141,493","93"
"265","000webhost.com","306,220","93"
"266","disney.com","182,943","93"
"267","www.wikipedia.org","518,353","93"
"268","eventbrite.com","548,227","93"
"269","bt.com","159,898","93"
"270","google.nl","215,734","93"
"271","surveymonkey.com","374,354","93"
"272","nature.com","421,544","93"
"273","instructables.com","267,338","93"
"274","cnbc.com","371,122","93"
"275","columbia.edu","272,598","93"
"276","it.wikipedia.org","279,139","93"
"277","godaddy.com","2,323,072","93"
"278","digg.com","822,124","93"
"279","nginx.org","422,489","93"
"280","www.over-blog.com","386,630","93"
"281","wp.com","907,953","93"
"282","yadi.sk","171,610","93"
"283","quora.com","299,179","93"
"284","kickstarter.com","410,452","93"
"285","bp0.blogger.com","520,110","93"
"286","twitch.tv","268,680","93"
"287","ibm.com","437,207","93"
"288","cornell.edu","365,057","93"
"289","channel4.com","143,612","93"
"290","disqus.com","923,074","93"
"291","npr.org","575,877","93"
"292","vice.com","294,656","93"
"293","asus.com","137,686","93"
"294","gofundme.com","234,189","93"
"295","sendspace.com","152,452","93"
"296","gizmodo.com","342,572","93"
"297","weibo.com","1,486,759","93"
"298","sapo.pt","207,869","93"
"299","alibaba.com","370,454","93"
"300","picasa.google.com","246,910","93"
"301","unesco.org","246,683","93"
"302","themeforest.net","488,391","93"
